thread_id,title,abstract,author,forum_name,view_num,create_time,url
10871342866,为什么这次的陈泽杯2.0炸不了鱼了,都半决赛的选手千里挑一了，还是0杀，1杀1杀，2杀，3杀的，为啥因为这游戏已经废了，两年走完吃鸡6年的路，吃鸡现在的现状，全是上万小时老玩家互打，新手进去被当也够踹死。大家有没有发现现在的三角洲玩家人数少了少了很多，但是匹配速度却快了 ，以前的巴克什单排要排5.6分钟，现在不管什么图都是秒进，为啥，匹配机制改了，单排匹配组排池来了 。以前的匹配机制检测到你是单排野排玩家会给你精心挑选同类型玩家，现在秒进人数太少,一铺西农,三角洲行动,12997,2026-07-16 09:33:39,https://tieba.baidu.com/p/10871342866
10871503520,三角洲最恶心bug,这tm还有人样吗？我玩手游一年半遇见过最恶心的bug ,贴吧用户_aSy2eUC,三角洲行动,19826,2026-07-16 10:35:03,https://tieba.baidu.com/p/10871503520
10872238283,一打三吃完全部枪飞鼠了还要嘲讽队友,这件事他做的对不对,Youngho的fans,三角洲行动,2596,2026-07-16 15:50:45,https://tieba.baidu.com/p/10872238283
10871196133,为什么总拿鸟人正面弱来护他逆天的情报收集能力？鸟人正面真弱吗？,如题理性讨论，大家总说鸟人是牺牲了正面作战能力，换来了极致的情报收集能力，然后大家就默许了老登不超标，只不过是捕鼠或者打最后一队专用干员，真正经猛攻相当于少一个人。但我真的想问一句鸟人正面真的很弱吗？ 但事实上是当你被有情报优势的老登队先手打死一个之后，这个人就很难再拉起来了，两个超大范围且能穿墙的emp可以直接加ban镭射，可以很舒服的让队伍压到近点二打三，而不是打过去人就拉起来了有时候三打三尬住，这也,夜霞丨º,三角洲行动,13545,2026-07-16 08:30:39,https://tieba.baidu.com/p/10871196133
10870193134,陈泽杯给我看恶心了,前面说什么强度高，后面就出来一队野人，王浩宇还搁那喊爽，你就这么喜欢吃黑流吗，“比赛不能接暗号”野人知道他参赛了吗 ,Anarkh52,三角洲行动,57071,2026-07-15 19:38:35,https://tieba.baidu.com/p/10870193134
10872824656,机航1-，,,萌小月,三角洲行动,163,2026-07-16 20:56:08,https://tieba.baidu.com/p/10872824656
10872097385,关于这次银翼削弱，不知道都在跟风开心些什么...,只说个人见解，有不同想法以你为准。 首先我是觉得这干员强度很一般，由于主玩绝航，不到一万也几千场了，银翼正面能力弱，道具也没有足够的威慑性这个应该是人尽皆知了，猛攻队里就是个拖油瓶。那个闻脚气更搞笑，都是我走过的地方，你敢开大我就知道你大概在哪里了，顺着来时路就能找到你，你要是敢顺着脚印来那我更省事...进了室内更是强度砍半。 我啥时候玩银翼呢？野排的时候，确定不了队友是什么人，拿个银翼无功无过，趴着不,x1ao_Cc,三角洲行动,7071,2026-07-16 14:45:40,https://tieba.baidu.com/p/10872097385
10870311532,陈泽杯是不是魔了,这几个人除了10一队刘涛，其他几个人五套都没有，全是装备烂又糖的，有人知道这些号数据不，kd1.5-2.0能排这种人？,羽生结弦,三角洲行动,4740,2026-07-15 20:46:58,https://tieba.baidu.com/p/10870311532
10872444103,红皮的宣传视频能不能用点心啊，内部有人审核过吗？,首款干员研究是什么意思？ 不应该是首款红皮吗？干员研究不是获得皮肤的方式吗？方式怎么能说首款？ ,这七字值六硬币e7,三角洲行动,1196,2026-07-16 17:27:06,https://tieba.baidu.com/p/10872444103
10870274571,这个陈泽杯不纯纯炸鱼杯吗,稍微看了一下第一轮， 第一个选手一零，真就杀一个啊。 第二个选手人心，12个头，除了第一队算全装，全是绿裤，对局全是绿裤+蝶逛街，真无敌了，绿裤少年来的。 第三个选手幸子也是 赛前吹很多，就杀一个 第四个选手路西法，赛前说什么两百万投票想看他不负遗憾。结果上来活宿舍aw空5枪，放炮来的，对局全是4套修脚绿裤，一个五套都没有。最明显的，选手都没有针了，自己都不敢吃包补充，怕被看见装备。而且这个视角太晃了，给我整晕了,Serpent青,三角洲行动,21325,2026-07-15 20:26:06,https://tieba.baidu.com/p/10870274571
